Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL: List Songs,332,0,8700.0,8315.446464963854,567.8636540001207,11300.591370000348,215941.0,2.5234482115754,0.0,8700,9400,9800,9900,10000,11000,11000,11000,11000,11000,11000
POST,GQL: List Users,330,0,8200.0,7727.94360006364,287.68296499993085,10787.52666499986,38314.0,2.508246716324946,0.0,8200,8800,9200,9300,9800,10000,10000,11000,11000,11000,11000
POST,GQL: Playlist Songs,674,0,7900.0,7592.204189476267,326.17858700041324,10715.602407000006,1154.0,5.122903899403071,0.0,7900,8500,9000,9200,9800,10000,10000,10000,11000,11000,11000
POST,GQL: Playlists by Song,713,0,7800.0,7467.622224186539,24.58840400004192,11069.175108999843,446.0,5.419333056786929,0.0,7800,8400,8900,9100,9700,10000,11000,11000,11000,11000,11000
POST,GQL: User Playlists,691,0,7900.0,7466.571147109974,16.851391999807674,10833.868116000303,31.0,5.2521166090319324,0.0,7900,8400,8900,9100,9600,9900,10000,11000,11000,11000,11000
,Aggregated,2740,0,8000.0,7632.084141092683,16.851391999807674,11300.591370000348,31187.316423357664,20.82604849312228,0.0,8000,8600,9100,9300,9800,10000,11000,11000,11000,11000,11000
