Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/playlists/1/songs,4630,0,5,5.144538523541949,1.8924170001355378,88.23367900004087,1683.0,32.22589694472923,0.0,5,5,6,6,7,8,10,18,74,88,88
GET,/playlists/search?songId=1,4697,0,9,9.218305317011534,3.945363999946494,93.98487900011787,388.0,32.69223281844346,0.0,9,10,11,11,13,14,16,23,84,94,94
GET,/songs,2308,0,16,16.785834969238664,9.30248700001357,77.61061300016081,322257.0,16.06422681391686,0.0,16,18,19,20,23,25,28,33,70,78,78
GET,/users,2256,0,6,6.288648736701256,2.9279440000209433,89.6651099999417,43294.0,15.702294494019254,0.0,6,7,7,8,9,10,12,14,72,90,90
GET,/users/1/playlists,4674,0,3,3.9344481842097916,1.3199529998928483,92.08052199983285,2.0,32.53214736925798,0.0,3,4,4,5,6,7,8,16,86,92,92
,Aggregated,18565,0,6,7.4568329065445536,1.3199529998928483,93.98487900011787,45842.41820630218,129.21679844036677,0.0,6,7,9,11,14,18,23,25,80,92,94
