Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL: List Songs,435,0,25000.0,23541.146217747144,1358.8018499999635,33019.62591099982,215941.0,2.2533169891439933,0.0,25000,26000,27000,28000,29000,30000,32000,32000,33000,33000,33000
POST,GQL: List Users,452,0,24000.0,22834.37310468364,383.32371700016665,32345.062186999712,38314.0,2.3413776530875516,0.0,24000,25000,27000,27000,29000,30000,31000,32000,32000,32000,32000
POST,GQL: Playlist Songs,931,0,24000.0,22710.734955921584,389.4491169999128,32426.937604999694,1154.0,4.822616360673695,0.0,24000,25000,26000,27000,28000,30000,31000,32000,32000,32000,32000
POST,GQL: Playlists by Song,875,0,24000.0,23057.671718656024,1443.4019149998676,32670.236365000164,446.0,4.532534173565503,0.0,24000,25000,26000,27000,29000,30000,31000,32000,33000,33000,33000
POST,GQL: User Playlists,881,0,24000.0,22873.634873267863,385.1313670002128,31860.16139100002,31.0,4.563614407898524,0.0,24000,25000,26000,27000,28000,30000,31000,31000,32000,32000,32000
,Aggregated,3574,0,24000.0,22952.536253266062,383.32371700016665,33019.62591099982,31545.662562954672,18.51345958436927,0.0,24000,25000,26000,27000,29000,30000,31000,32000,32000,33000,33000
