Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,GetAllSongs,2127,0,8,9.759755524212506,6,41,193236.0,16.253275650650693,0.0,8,10,12,13,15,17,19,22,29,41,41
gRPC,GetAllUsers,2062,0,2,2.5324927255092144,1,20,22273.0,15.756584105144206,0.0,2,2,3,3,5,6,8,9,17,20,20
gRPC,GetPlaylistSongs,4251,0,1,1.4147259468360385,0,7,1008.0,32.483627076124165,0.0,1,1,1,2,3,3,4,5,6,7,7
gRPC,GetPlaylistsBySong,4191,0,5,6.33977570985445,3,23,7748.0,32.02514257257972,0.0,5,6,7,8,10,13,15,16,17,23,23
gRPC,GetUserPlaylists,4195,0,1,0.7704410011918951,0,5,0.0,32.05570820614935,0.0,1,1,1,1,2,3,4,4,5,5,5
,Aggregated,16826,0,2,3.672708902888387,0,41,29341.30357779627,128.57433761064812,0.0,2,5,5,7,8,12,15,16,23,30,41
