Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/playlists/1/songs,15815,0,3,4.018527299462095,1.6779740001311438,104.8457409999628,1683.0,81.74172621822865,0.0,3,4,4,4,5,6,9,25,67,100,100
GET,/playlists/search?songId=1,15662,0,6,7.093677517429745,3.360402999987855,107.33709899977839,388.0,80.95092734934538,0.0,6,7,7,8,9,10,13,30,69,110,110
GET,/songs,7742,0,13,13.593369225006244,9.098606999941694,111.12349500012897,322257.0,40.01545648950529,0.0,13,14,14,15,17,19,22,30,81,110,110
GET,/users,8079,0,4,4.932861879934121,2.449556999863489,76.72143700006018,43294.0,41.75728144907172,0.0,4,5,5,5,6,8,10,18,67,77,77
GET,/users/1/playlists,15665,0,2,3.072334574593978,1.136090999807493,102.73955999991813,2.0,80.96643320951955,0.0,2,3,3,3,4,5,7,19,68,100,100
,Aggregated,62963,0,4,5.842713391959998,1.136090999807493,111.12349500012897,45700.02622174928,325.4318247156706,0.0,4,6,7,7,12,14,17,26,70,100,110
