Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP: getAllSongsRequest,1238,0,8800.0,8272.527273696272,54.58288199997696,19182.82198399993,447478.0,6.402804483385804,0.0,8800,9100,9400,9600,10000,11000,13000,13000,16000,19000,19000
POST,SOAP: getAllUsersRequest,1185,0,10000.0,9931.415667966245,1262.9201199997624,20471.011140999963,66515.0,6.128694113741662,0.0,10000,11000,11000,11000,12000,13000,14000,15000,18000,20000,20000
POST,SOAP: getPlaylistSongsRequest,2250,0,8700.0,8201.81947465911,3.092282000125124,21073.666356000103,2564.0,11.636760975458852,0.0,8700,9100,9300,9500,10000,11000,13000,14000,17000,21000,21000
POST,SOAP: getPlaylistsBySongRequest,2322,0,8800.0,8378.99241042809,21.202242000072147,20813.913698000306,18061.0,12.009137326673535,0.0,8800,9100,9400,9600,10000,11000,13000,14000,18000,21000,21000
POST,SOAP: getUserPlaylistsRequest,2294,0,8800.0,8279.73834620923,2.708066999730363,20280.94662700005,206.0,11.864324301201158,0.0,8800,9100,9400,9500,10000,11000,13000,14000,17000,20000,20000
,Aggregated,9289,0,8900.0,8495.4193446633,2.708066999730363,21073.666356000103,73310.07051351061,48.04172120046101,0.0,8900,9300,9600,9900,11000,12000,13000,14000,17000,21000,21000
