Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GQL: List Songs,105,0,2800.0,3092.7496004190416,89.01524900011282,8457.433645000037,215941.0,1.3698962523674583,0.0,2800,3500,4100,4500,5600,6400,7200,7900,8500,8500,8500
POST,GQL: List Users,120,0,2700.0,2912.5219483083365,403.4497239999837,11011.597900000197,38314.0,1.565595716991381,0.0,2800,3300,3600,4200,5400,6900,7400,8100,11000,11000,11000
POST,GQL: Playlist Songs,230,0,2000.0,2267.672030504359,5.462118000195915,8814.134161000311,1154.0,3.00072512423348,0.0,2100,2500,3000,3300,4400,5600,6900,7100,8800,8800,8800
POST,GQL: Playlists by Song,223,0,1900.0,2204.1050148295885,9.126566000304592,8111.766641999566,446.0,2.909398707408983,0.0,1900,2600,3100,3500,4200,5300,6600,7400,8100,8100,8100
POST,GQL: User Playlists,215,0,2200.0,2484.036158795347,5.049436000263086,8406.415689999903,31.0,2.8050256596095573,0.0,2200,2800,3300,3700,4700,6000,7100,7800,8400,8400,8400
,Aggregated,893,0,2200.0,2487.5577842161274,5.049436000263086,11011.597900000197,30955.238521836505,11.65064146061086,0.0,2200,2800,3300,3600,4700,6000,7100,7900,11000,11000,11000
