Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP: getAllSongsRequest,776,0,2200.0,2253.9593315644283,46.34883300013826,5953.134864000276,447478.0,5.914759814355427,0.0,2200,2500,2800,3000,3400,3600,4600,4600,6000,6000,6000
POST,SOAP: getAllUsersRequest,790,0,3700.0,3762.8844568265863,1123.3905700000832,7983.417763000034,66515.0,6.021469398635035,0.0,3700,4100,4300,4500,4900,5100,5900,6200,8000,8000,8000
POST,SOAP: getPlaylistSongsRequest,1586,0,2200.0,2247.742094438836,3.3991020000030403,7755.864445000043,2564.0,12.088671476247045,0.0,2200,2500,2800,3000,3400,3600,4400,4600,6500,7800,7800
POST,SOAP: getPlaylistsBySongRequest,1601,0,2200.0,2219.867135569641,20.846831000199018,7737.905656000294,18061.0,12.203003173689483,0.0,2200,2500,2700,2900,3300,3600,4500,4600,6600,7700,7700
POST,SOAP: getUserPlaylistsRequest,1618,0,2300.0,2268.364394728682,2.641243000198301,7637.973961000171,206.0,12.332579097457579,0.0,2300,2600,2900,3000,3400,3600,4400,4500,6500,7600,7600
,Aggregated,6371,0,2300.0,2434.6085384845474,2.641243000198301,7983.417763000034,67980.73316590802,48.56048296038457,0.0,2300,2700,3100,3300,3700,4400,4800,5100,6600,8000,8000
