Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP: getAllSongsRequest,293,0,50,53.51979254263989,35.4439560001083,522.3612089998824,447478.0,4.0163295798884295,0.0,50,52,53,55,62,68,100,190,520,520,520
POST,SOAP: getAllUsersRequest,259,0,1100.0,1138.0248475212554,960.7516370001576,1648.2875520000562,66515.0,3.5502708573075195,0.0,1100,1100,1100,1200,1300,1400,1400,1400,1600,1600,1600
POST,SOAP: getPlaylistSongsRequest,486,0,4,7.329454380666262,2.9428080001707713,461.09816899979705,2564.0,6.661898211009476,0.0,4,4,5,5,5,8,16,99,460,460,460
POST,SOAP: getPlaylistsBySongRequest,508,0,23,29.121138685051246,17.390734999935376,483.0957379999745,18061.0,6.963465619738301,0.0,23,23,24,24,26,31,97,310,480,480,480
POST,SOAP: getUserPlaylistsRequest,540,0,4,9.581214359258816,2.3648030000913423,379.63159699984317,206.0,7.402109123343863,0.0,4,4,4,4,5,9,87,280,380,380,380
,Aggregated,2086,0,19,160.0955147449704,2.3648030000913423,1648.2875520000562,76160.48465963567,28.59407339128759,0.0,19,24,45,50,1100,1100,1200,1300,1400,1600,1600
