Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,GetAllSongs,7100,0,7,8.14830985915493,6,27,193236.0,37.76442709818356,0.0,7,7,8,8,14,14,15,16,20,27,27
gRPC,GetAllUsers,7289,0,2,1.6301275895184524,1,11,22273.0,38.76970550967042,0.0,2,2,2,2,2,2,3,8,10,11,11
gRPC,GetPlaylistSongs,14251,0,1,1.0104554066381306,0,10,1008.0,75.80011979946676,0.0,1,1,1,1,1,1,1,1,4,10,10
gRPC,GetPlaylistsBySong,14221,0,4,4.513606638070459,3,22,7748.0,75.64055179764344,0.0,4,5,5,5,5,6,6,7,15,20,22
gRPC,GetUserPlaylists,14292,0,0,0.11502938706968933,0,8,0.0,76.01819606862527,0.0,0,0,0,0,1,1,1,1,3,8,8
,Aggregated,57153,0,1,2.6239567476772874,0,27,29025.12226829738,303.9930002735895,0.0,1,4,4,5,7,7,9,14,16,22,27
